32,K-2,9500000,440500,9059500,,,,,,,,,,,
1009,K-3,9500000,6994980,2505020,,,,,,,,,,,
1010,K-3,9500000,0,9500000,,,,,,,,,,, 
1013,K-2,9500000,0,9500000,,,,,,,,,,,
1015,K-3,9500000,2534000,6966000,,,,,,,,,,,
1016,K-2,9500000,3733027,5766973,,,,,,,,,,,
1019,K-2,9500000,6443192,3056808,,,,,,,,,,,
1026,K-3,9500000,0,9500000,,,,,,,,,,,
1027,K-3,9500000,0,9500000,,,,,,,,,,,
1034,K-3,9500000,2246300,7253700,,,,,,,,,,,
1044,K-3,9500000,0,9500000,,,,,,,,,,,
1047,K-1,9500000,1822590,7677410,,,,,,,,,,,
1050,K-3,9500000,0,9500000,,,,,,,,,,,
1051,K-2,9500000,0,9500000,,,,,,,,,,,
1053,K-3,9500000,0,9500000,,,,,,,,,,,
1059,K-2,9500000,401000,9099000,,,,,,,,,,,
1061,K-3,9500000,0,9500000,,,,,,,,,,,
1070,K-3,9500000,180000,9320000,,,,,,,,,,,
1072,K-3,9500000,0,9500000,,,,,,,,,,,
1073,K-2,9500000,1000000,8500000,,,,,,,,,,,
1077,K-2,9500000,0,9500000,,,,,,,,,,,
1082,K-3,9500000,4833992,4666008,,,,,,,,,,,
1084,K-3,9500000,3728378,5771622,,,,,,,,,,,
1086,K-3,9500000,0,9500000,,,,,,,,,,,
1087,K-3,9500000,0,9500000,,,,,,,,,,,
1088,K-2,9500000,0,9500000,,,,,,,,,,,
1089,K-3,9500000,0,9500000,,,,,,,,,,,
1090,K-1,9500000,0,9500000,,,,,,,,,,,
1093,K-2,9500000,797833,8702167,,,,,,,,,,,
1096,K-2,9500000,0,9500000,,,,,,,,,,,
1097,K-3,9500000,200000,9300000,,,,,,,,,,,
1099,K-3,9500000,6699279,2800721,,,,,,,,,,,
1100,K-1,9500000,0,9500000,,,,,,,,,,,
1109,K-3,9500000,0,9500000,,,,,,,,,,,
1111,K-3,9500000,526410,8973590,,,,,,,,,,,
1113,K-2,9500000,0,9500000,,,,,,,,,,,
1126,TK,2900000,0,2900000,,,,,,,,,,,
1127,K-3,9500000,1425000,8075000,,,,,,,,,,,
