000032,1962-02-02
001009,1971-11-14
001010,1971-09-19
001013,1971-06-27
001015,1969-12-11
001016,1971-06-13
001019,1969-04-04
001026,1970-02-14
001027,1971-12-22
001034,1971-03-21
001044,1976-01-24
001047,1971-11-27
001050,1974-03-10
001051,1972-01-14
001053,1977-04-03
001059,1976-11-24
001061,1976-11-07
001070,1978-05-19
001072,1976-03-21
001073,1971-03-28
001077,1970-02-26
001082,1973-09-23
001084,1970-11-11
001086,1977-03-28
001087,1978-01-02
001088,1977-01-03
001089,1977-10-21
001090,1978-04-27
001093,1976-05-04
001096,1977-07-03
001097,1972-09-07
001099,1976-11-16
001100,1977-05-10
001109,1976-11-14
001111,1975-11-01
001113,1975-11-17
001126,1977-08-15
001127,1976-06-08
001130,1976-07-06
001135,1974-12-28
001141,1976-10-21
001142,1978-01-20
001143,1978-02-19
001145,1978-04-22
001148,1978-04-03
001150,1978-02-10
001152,1977-11-03
001156,1977-11-11
001164,1975-09-12
001168,1976-08-12
001174,1977-10-17
001178,1975-03-11
001182,1970-09-12
001188,1977-04-03
001192,1969-07-18
001194,1974-08-05
001198,1972-07-15
001201,1977-02-17
001203,1979-09-13
001209,1975-02-20
001222,1976-12-20
001226,1976-07-02
001228,1969-02-03
001229,1978-08-31
001234,1977-01-25
001235,1975-02-25
001236,1977-05-27
001238,1976-08-01
001242,1976-03-12
001243,1976-07-18
001245,1978-11-04
001246,1975-09-11
001256,1970-06-02
001260,1978-09-09
001267,1977-08-19
001268,1978-01-19
001275,1974-07-06
001276,1976-09-27
001279,1977-07-27
001281,1976-03-19
001286,1978-06-10
001288,1976-11-19
001290,1975-07-08
001293,1975-01-19
001299,1977-04-29
001301,1971-07-09
001302,1973-11-08
001309,1978-10-10
001313,1977-05-08
001315,1977-09-28
001317,1978-04-26
001318,1979-04-03
001324,1977-12-20
001327,1975-09-11
001334,1977-04-04
001338,1979-09-07
001346,1979-03-29
001348,1977-07-28
001351,1978-06-02
001354,1978-07-21
001356,1979-01-26
001359,1978-12-24
001360,1978-11-01
001361,1976-06-03
001365,1979-01-29
001367,1973-10-10
001371,1978-05-11
001377,1978-07-12
001378,1978-11-25
001380,1978-09-15
001381,1978-06-12
001384,1979-04-01
001385,1977-05-10
001386,1978-06-18
001388,1978-03-18
001390,1979-01-11
001391,1978-08-15
001392,1975-10-26
001394,1979-04-10
001396,1978-06-05
001398,1978-12-09
001399,1977-03-27
001400,1975-02-07
001403,1978-08-29
001405,1977-10-10
001407,1978-02-28
001414,1978-01-27
001423,1978-07-29
001435,1979-02-19
001438,1979-03-22
001441,1979-01-06
001443,1978-11-19
001446,1979-03-16
001447,1978-12-22
001450,1978-06-24
001451,1977-08-28
001452,1978-12-11
001453,1979-04-08
001456,1973-03-26
001459,1976-10-20
001465,1978-08-28
001467,1978-03-13
001473,1978-11-06
001474,1979-02-10
001478,1978-09-03
001479,1978-09-08
001482,1974-04-18
001486,1978-06-13
001490,1975-01-18
001493,1979-01-15
001497,1969-04-24
001504,1978-06-19
001507,1978-04-20
001511,1978-05-03
001512,1978-08-09
001516,1978-10-20
001519,1977-06-17
001528,1978-06-03
001531,1977-04-22
001532,1979-01-07
001533,1976-09-04
001534,1978-09-05
001535,1977-02-20
001536,1979-04-12
001542,1978-07-23
001543,1978-01-29
001551,1978-01-25
001557,1969-03-13
001560,1978-07-15
001561,1978-07-13
001562,1978-08-05
001563,1980-01-10
001566,1978-05-10
001569,1979-05-02
001571,1978-01-25
001572,1977-01-03
001573,1977-09-03
001574,1978-01-03
001579,1978-12-01
001584,1970-06-05
001592,1978-10-04
001593,1977-12-15
001596,1979-06-04
001598,1978-11-09
001599,1980-01-21
001605,1976-01-04
001607,1979-05-10
001609,1979-05-04
001610,1980-03-21
001611,1978-10-28
001612,1978-06-16
001624,1979-04-16
001626,1979-02-01
001630,1980-02-09
001632,1979-08-25
001635,1980-08-17
001636,1980-07-06
001637,1979-05-21
001638,1979-06-08
001639,1979-07-01
001645,1979-01-15
001650,1979-08-20
