ABRSY7614-0667251.1+418N, HB60 2HB2430 NO,HB-60,2430,10,10,5.0,3.0,0,0,CLAAS 2HB,120.93,90,883,2430,10,10,12.5,0.8,0.8,1,,
ABRSY7614-2680992.0+418N, HB40 4HB2304 NO,HB-40,2304,10,10,5.0,3.0,0,0,CLAAS 4HB,120.93,180,1765,2304,10,10,12.5,0.8,0.8,0,,
ABRSY7614-0667252.0+418N, HB40 2HB2640 NO,HB-40,2640,11,11,5.0,3.0,0,0,CLAAS 2HB,120.93,90,883,2640,11,11,12.5,0.8,0.8,0,,
ABRSY7614-0661220.1+418N, HB40 3HB2880 NO,HB-40,2880,12,12,5.0,3.0,0,0,CLAAS 3HB,120.93,140,1373,2880,12,12,12.5,0.8,0.8,0,,
ABRSY7614-0644892.0+418N, HB60 3HB3190 NO,HB-60,3190,13,13,5.0,3.0,0,0,CLAAS 3HB,120.93,140,1373,3190,13,13,12.5,0.8,0.8,0,,
ABRSY7614-0176442.1+418N, HB40 3HB3260 NO,HB-40,3260,14,14,5.0,5.0,0,0,CLAAS 3HB,120.93,140,1373,3260,14,14,12.5,0.8,0.8,0,,
ABRSY7614-0644965.0+418N, HB60 3HB3260 NO,HB-40,3260,14,14,5.0,5.0,0,0,CLAAS 3HB,120.93,140,1373,3260,14,14,12.5,0.8,0.8,0,,
ABRSY7614-0644902.0+418N, HB40 2HB3350 NO,HB-40,3350,14,14,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,3350,14,14,12.5,0.8,0.8,0,,
ABRSY7614-2713667.0+418N, HB60 3HB3628 NO,HB-60,3628,15,15,5.0,5.0,0,0,CLAAS 3HB,120.93,140,1373,3628,15,15,12.5,0.8,0.8,0,,
ABRSY7614-0061700.1+418N, HB40 2HB3730 NO,HB-40,3730,15,15,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,3730,15,15,12.5,0.8,0.8,0,,
ABRSY7614-0644889.0+418N, HB60 2HB3730 NO,HB-40,3730,15,15,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,3730,15,15,12.5,0.8,0.8,0,,
ABRSY7614-0628978.0+418N, HB60 2HB4280 NO,HB-60,4280,18,18,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,4280,18,18,12.5,0.8,0.8,0,,
ABRSY7614-0756466.1+418N, HB60 2HB4330 NO,HB-60,4330,18,18,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,4330,18,18,12.5,0.8,0.8,0,,
ABRSY7614-2793710.0+418N, HB40 2HB4445 NO,HB-40,4445,18,18,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,4445,18,18,12.5,0.8,0.8,0,,
ABRSY7614-0667651.0+418N, HB40 2HB5580 NO,HB-40,5580,23,23,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,5580,23,23,12.5,0.8,0.8,0,,
ABRSY7614-0644866.0+418N, HB40 2HB5670 NO,HB-40,5670,23,23,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,5670,23,23,12.5,0.8,0.8,0,,
