2,3,,,GENERAL MANAGER,False,True,False
3,5,,,MANAGER,False,True,False
4,2,,,DIRECTOR,False,False,True
5,6,,,MANAGER,False,True,False
6,2,,,PRESIDENT DIRECTOR,False,False,True
7,8,,,GENERAL MANAGER,False,True,False
8,,,,ASST.MANAGER,False,False,False
9,2,,,DIRECTOR,False,False,True
10,5,10,17,LEADER,False,False,False
11,3,4,,SR.SUPERVISOR,True,False,False
12,3,3,3,SENIOR STAFF,False,False,False
13,3,6,11,FOREMAN,False,False,False
14,3,4,,MANAGER,False,True,False
15,3,3,3,SENIOR STAFF,False,False,False
16,,,,ASST.MANAGER,False,False,False
17,6,13,20,SUPERVISOR,True,False,False
18,,,,,False,False,False
19,4,7,13,SUPERVISOR,True,False,False
20,3,5,8,ASST.SUPERVISOR,True,False,False
21,3,4,,SR.SUPERVISOR,True,False,False
22,3,4,6,FOREMAN,False,False,False
23,3,4,7,FOREMAN,False,False,False
24,3,1,1,SENIOR STAFF,False,False,False
25,3,1,1,SR.SUPERVISOR,True,False,False
26,6,14,21,SENIOR STAFF,False,False,False
27,5,10,17,OPERATOR,False,False,False
28,8,18,24,OPERATOR,False,False,False
29,3,5,9,FOREMAN,False,False,False
30,8,18,24,SUPERVISOR,True,False,False
31,5,10,17,LEADER,False,False,False
32,5,10,17,SR.SUPERVISOR,True,False,False
33,3,5,8,FOREMAN,False,False,False
34,3,6,,ASST.MANAGER,False,True,False
35,8,18,24,SR.SUPERVISOR,True,False,False
36,3,5,8,FOREMAN,False,False,False
37,3,1,1,SENIOR STAFF,False,False,False
38,3,6,11,FOREMAN,False,False,False
39,3,5,8,LEADER,False,False,False
40,3,5,8,LEADER,False,False,False
41,4,7,13,LEADER,False,False,False
42,3,5,9,LEADER,False,False,False
43,6,14,21,SENIOR STAFF,False,False,False
44,3,5,8,OPERATOR,False,False,False
45,3,4,7,LEADER,False,False,False
46,3,5,9,LEADER,False,False,False
47,3,5,8,OPERATOR,False,False,False
48,3,5,8,OPERATOR,False,False,False
49,3,5,8,ASST.LEADER,False,False,False
50,3,5,,ASST.MANAGER,False,True,False
51,3,6,12,OPERATOR,False,False,False
52,5,10,17,OPERATOR,False,False,False
53,3,4,7,FOREMAN,False,False,False
54,3,5,9,FOREMAN,False,False,False
55,5,10,17,OPERATOR,False,False,False
56,3,4,7,ASST.SUPERVISOR,True,False,False
57,5,10,17,OPERATOR,False,False,False
58,3,4,5,LEADER,False,False,False
59,3,6,12,ASST.LEADER,False,False,False
60,3,6,12,OPERATOR,False,False,False
61,3,5,9,FOREMAN,False,False,False
62,3,4,7,LEADER,False,False,False
63,5,10,17,ASST.LEADER,False,False,False
64,4,7,13,SUPERVISOR,True,False,False
65,6,14,21,SUPERVISOR,True,False,False
66,3,5,9,ASST.LEADER,False,False,False
67,4,8,14,SENIOR STAFF,False,False,False
68,3,6,12,FOREMAN,False,False,False
69,5,10,17,FOREMAN,False,False,False
70,3,1,1,SENIOR STAFF,False,False,False
71,3,5,8,FOREMAN,False,False,False
72,3,5,8,OPERATOR,False,False,False
73,3,4,7,OPERATOR,False,False,False
74,4,8,14,STAFF,False,False,False
75,3,6,12,LEADER,False,False,False
76,3,5,9,OPERATOR,False,False,False
77,3,6,12,ASST.LEADER,False,False,False
78,5,10,17,OPERATOR,False,False,False
79,5,10,17,LEADER,False,False,False
80,5,10,17,LEADER,False,False,False
81,3,6,12,OPERATOR,False,False,False
82,3,5,8,OPERATOR,False,False,False
83,3,1,1,SENIOR STAFF,False,False,False
84,6,14,21,SENIOR STAFF,False,False,False
85,8,18,24,SR.SUPERVISOR,True,False,False
86,3,5,10,FOREMAN,False,False,False
87,5,11,18,SENIOR STAFF,False,False,False
88,3,4,7,LEADER,False,False,False
89,5,10,17,FOREMAN,False,False,False
90,5,10,17,FOREMAN,False,False,False
91,5,10,17,OPERATOR,False,False,False
92,3,5,10,OPERATOR,False,False,False
93,3,6,12,LEADER,False,False,False
94,3,3,3,ASST.SUPERVISOR,True,False,False
95,4,7,13,LEADER,False,False,False
96,3,5,8,LEADER,False,False,False
97,3,4,7,OPERATOR,False,False,False
98,5,11,18,SENIOR STAFF,False,False,False
99,3,4,6,SUPERVISOR,True,False,False
100,3,6,11,FOREMAN,False,False,False
101,,,,GENERAL MANAGER,False,False,False
102,5,10,17,OPERATOR,False,False,False
103,3,5,8,OPERATOR,False,False,False
104,3,5,8,OPERATOR,False,False,False
105,5,10,17,LEADER,False,False,False
106,4,8,,SR.SUPERVISOR,True,False,False
107,3,5,8,OPERATOR,False,False,False
108,3,5,9,LEADER,False,False,False
109,3,4,4,FOREMAN,False,False,False
110,3,6,11,LEADER,False,False,False
111,3,5,9,LEADER,False,False,False
