AWRSZ5100-A80,STD A80,STD,2058,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A81,STD A81,STD,2083.4,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A82,STD A82,STD,2108.8,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A83,STD A83,STD,2134.2,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A84,STD A84,STD,2159.6,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A85,STD A85,STD,2185,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A86,STD A86,STD,2210.4,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A87,STD A87,STD,2235.8,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A88,STD A88,STD,2261.2,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A89,STD A89,STD,2286.6,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A90,STD A90,STD,2312,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A91,STD A91,STD,2337.4,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A92,STD A92,STD,2362.8,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A93,STD A93,STD,2388.2,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A94,STD A94,STD,2413.6,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A95,STD A95,STD,2439,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A96,STD A96,STD,2464.4,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A97,STD A97,STD,2489.8,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A98,STD A98,STD,2515.2,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A99,STD A99,STD,2540.6,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A100,STD A100,STD,2566,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A101,STD A101,STD,2591.4,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A102,STD A102,STD,2616.8,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A103,STD A103,STD,2642.2,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A104,STD A104,STD,2667.6,-12.5,12,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A105,STD A105,STD,2693,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A106,STD A106,STD,2718.4,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A107,STD A107,STD,2743.8,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A108,STD A108,STD,2769.2,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A109,STD A109,STD,2794.6,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A110,STD A110,STD,2820,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A111,STD A111,STD,2845.4,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A112,STD A112,STD,2870.8,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A113,STD A113,STD,2896.2,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A114,STD A114,STD,2921.6,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A115,STD A115,STD,2947,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A116,STD A116,STD,2972.4,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A117,STD A117,STD,2997.8,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A118,STD A118,STD,3023.2,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A119,STD A119,STD,3048.6,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A120,STD A120,STD,3074,-12.5,15,5,0,RMA A,105.11,23,225.55295,12.5,0.6,0.6,9,0.8,0.8,FALSE
AWRSZ5100-A121,STD A121,STD,3107.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A122,STD A122,STD,3133.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A123,STD A123,STD,3158.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A124,STD A124,STD,3184.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A125,STD A125,STD,3209.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A126,STD A126,STD,3234.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A127,STD A127,STD,3260.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A128,STD A128,STD,3285.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A129,STD A129,STD,3311.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A130,STD A130,STD,3336.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A131,STD A131,STD,3361.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A132,STD A132,STD,3387.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A133,STD A133,STD,3412.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A134,STD A134,STD,3438.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A135,STD A135,STD,3463.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A136,STD A136,STD,3488.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A137,STD A137,STD,3514.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A138,STD A138,STD,3539.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A139,STD A139,STD,3565.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A140,STD A140,STD,3590.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A141,STD A141,STD,3615.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A142,STD A142,STD,3641.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A143,STD A143,STD,3666.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A144,STD A144,STD,3692.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A145,STD A145,STD,3717.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A146,STD A146,STD,3742.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A147,STD A147,STD,3768.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A148,STD A148,STD,3793.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A149,STD A149,STD,3819.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A150,STD A150,STD,3844.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A151,STD A151,STD,3869.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A152,STD A152,STD,3895.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A153,STD A153,STD,3920.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A154,STD A154,STD,3946.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A155,STD A155,STD,3971.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A156,STD A156,STD,3996.9,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A157,STD A157,STD,4022.3,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A158,STD A158,STD,4047.7,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A159,STD A159,STD,4073.1,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A160,STD A160,STD,4098.5,-3.5,3,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A161,STD A161,STD,4123.9,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A162,STD A162,STD,4149.3,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A163,STD A163,STD,4174.7,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A164,STD A164,STD,4200.1,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A165,STD A165,STD,4225.5,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A166,STD A166,STD,4250.9,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A167,STD A167,STD,4276.3,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A168,STD A168,STD,4301.7,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A169,STD A169,STD,4327.1,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A170,STD A170,STD,4352.5,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A171,STD A171,STD,4377.9,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A172,STD A172,STD,4403.3,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A173,STD A173,STD,4428.7,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A174,STD A174,STD,4454.1,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A175,STD A175,STD,4479.5,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A176,STD A176,STD,4504.9,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A177,STD A177,STD,4530.3,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A178,STD A178,STD,4555.7,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A179,STD A179,STD,4581.1,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
AWRSZ5100-A180,STD A180,STD,4606.5,-4.5,4.5,7.5,0,RMA A,105.11,23,225.55295,12.5,0.4,0.4,9,0.8,0.8,FALSE
